金山碧海花园  , 5室2厅 , 175.06平米 , 南 北 , 精装 , 有电梯,680万,38844
海山道1号  , 2室1厅 , 75.02平米 , 南 , 其他 , 有电梯,430万,57319
翠景花园  , 5室2厅 , 180.12平米 , 南 , 其他 , 无电梯,610万,33867
海川阁  , 1室1厅 , 51.22平米 , 北 , 其他 , 有电梯,182万,35533
万科东海岸    , 4室2厅 , 225.53平米 , 南 , 其他 , 无电梯,1550万,68727
心海伽蓝  , 5室2厅 , 138.77平米 , 南 , 其他 , 有电梯,800万,57650
南方明珠花园B区  , 2室2厅 , 80.73平米 , 南 , 其他 , 无电梯,280万,34684
万科东海岸    , 4室2厅 , 225.53平米 , 南 , 其他 , 无电梯,1550万,68727
万科东海岸    , 6室4厅 , 167.16平米 , 南 北 , 其他 , 无电梯,1200万,71788
倚山时代雅居  , 2室1厅 , 33平米 , 东北 , 其他 , 有电梯,190万,57576
倚山时代雅居  , 3室1厅 , 48平米 , 东南 , 其他 , 有电梯,265万,55209
昊海君悦  , 1室1厅 , 38.88平米 , 南 , 其他 , 有电梯,135万,34723
