南杨花园,2室1厅,64.53平,高区/6层,朝南,370,单价57337元/平,|距离7号线芳华路站372米|满五|有钥匙|
曙光苑,2室2厅,114.77平,中区/7层,未知,498,单价43391元/平,|距离2号线川沙站979米|满五|有钥匙|
浦发博园（公寓）,2室2厅,91.29平,中区/14层,朝南北,605,单价66272元/平,|距离11号线浦三路站401米|满五|有钥匙|
芳华路713弄,1室1厅,55.82平,中区/6层,未知,330,单价59118元/平,|距离16号线龙阳路站955米|满五|有钥匙|
陆家嘴国际华城,2室2厅,119.66平,高区/36层,朝南,1120,单价93598元/平,|距离6号线源深体育中心站288米|满五|有钥匙|
金浦小区（塘桥）,2室1厅,52.11平,高区/6层,朝南,390,单价74841元/平,|距离6号线蓝村路站461米|满五|有钥匙|
培花七村,2室1厅,57.06平,高区/6层,朝南,330,单价57833元/平,|距离7号线芳华路站749米|满五|有钥匙|
艾东小区,1室1厅,45.63平,中区/6层,朝南,255,单价55884元/平,|距离7号线杨高南路站755米|满五|有钥匙|
上川路1468弄,3室2厅,94.31平,低区/6层,朝南北,350,单价37111元/平,|满五|有钥匙|
绿洲康城亲水湾（东区）,3室2厅,124.35平,高区/12层,朝南北,760,单价61117元/平,|距离11号线罗山路站863米|有钥匙|
锦悦苑,2室2厅,98.18平,低区/6层,朝南北,405,单价41250元/平,|距离6号线外高桥保税区北站336米|满五|
绿洲康城亲水湾（中央区）,3室2厅,137.09平,中区/14层,朝南北,780,单价56896元/平,|距离16号线罗山路站863米|满五|
东方知音苑,3室2厅,113.61平,低区/7层,朝南北,880,单价77457元/平,|距离6号线云山路站591米|满五|
上海绿城,3室2厅,125.61平,低区/13层,朝南北,1120,单价89164元/平,|距离6号线蓝村路站843米|满五|
凌兆新村（上浦路510弄）,2室1厅,57.5平,低区/6层,朝南北,318,单价55304元/平,|距离6号线灵岩南路站421米|满五|有钥匙|
雍江星座香园,2室2厅,115.16平,中区/15层,朝南,900,单价78152元/平,|距离4号线塘桥站593米|满五|有钥匙|
金鹏苑,2室2厅,61.74平,低区/6层,朝南北,405,单价65597元/平,|距离6号线金桥路站812米|满五|有钥匙|
寿光路161弄,2室1厅,61.89平,中区/6层,朝南,320,单价51704元/平,|距离6号线五莲路站627米|满五|有钥匙|
上海绿城,3室2厅,136.02平,低区/12层,未知,1400,单价102926元/平,|距离6号线蓝村路站843米|满五|有钥匙|
德州二村,2室1厅,54.9平,中区/5层,朝南北,295,单价53734元/平,|距离8号线成山路站417米|满五|有钥匙|
